crefo	date	node
3230012865	2010-01-16T09:09:03Z	Umwelt-/Öko-Norm DIN EN ISO 14001
6050108507	2010-09-25T21:45:35Z	Als Beitrag zum Klimaschutz hat sich Merck ein ambitioniertes Ziel gesetzt: Bis zum Jahr 2020 wollen wir unsere gesamten (direkten                                  und indirekten) CO2-Emissionen um 20 Prozent verringern – gemessen am Stand von 2006. Dazu koppeln wir unsere gesamten Aktivitäten                                  mit Initiativen, die auf eine Verringerung bei Energieverbrauch, Emissionen und Abfallprodukten bei gleichzeitig höherem Leistungsgrad                                  abzielen. Diese Maßnahmen reichen vom Ausschalten nicht benötigter Lichtquellen über die Verwendung von Recyclingpapier für                                  die meisten Druckaufgaben bis zum Einkauf grüner Energie aus erneuerbaren Ressourcen und der Modernisierung von Heiz- und                                  Kühlsystemen an unseren größeren Standorten.
6050108507	2010-09-25T21:45:35Z	Bis Mitte 2009 entsprachen 28 unserer 54 Produktionsstandorte der internationalen Umweltmanagementnorm ISO 14001 oder einer                                  vergleichbaren Vorgabe.
6050108507	2010-11-26T13:04:59Z	Als Beitrag zum Klimaschutz hat sich Merck ein ambitioniertes Ziel gesetzt: Bis zum Jahr 2020 wollen wir unsere gesamten (direkten                                     und indirekten) CO2-Emissionen um 20 Prozent verringern – gemessen am Stand von 2006. Dazu koppeln wir unsere gesamten Aktivitäten                                     mit Initiativen, die auf eine Verringerung bei Energieverbrauch, Emissionen und Abfallprodukten bei gleichzeitig höherem Leistungsgrad                                     abzielen. Diese Maßnahmen reichen vom Ausschalten nicht benötigter Lichtquellen über die Verwendung von Recyclingpapier für                                     die meisten Druckaufgaben bis zum Einkauf grüner Energie aus erneuerbaren Ressourcen und der Modernisierung von Heiz- und                                     Kühlsystemen an unseren größeren Standorten.
6050108507	2010-11-26T13:04:59Z	Bis Mitte 2009 entsprachen 28 unserer 54 Produktionsstandorte der internationalen Umweltmanagementnorm ISO 14001 oder einer                                     vergleichbaren Vorgabe.
6050108507	2010-11-25T20:19:15Z	Im Rahmen Ihrer Abschlussarbeit soll die Nachhaltigkeit der                               organischen Photovoltaik untersucht werden. Hierfür werden                               Sie eine Ökobilanz inklusive Carbon Footprint (PCF) über den                               kompletten Lebenszyklus von OPV Produkten erstellen. Ziel der                               Arbeit ist eine Bilanzierung des Herstellprozesses inklusive der                               eingesetzten Rohstoffe, der Zellenproduktion sowie der                               Entsorgung.
6050108507	2010-11-25T20:19:15Z	Sie sind Student/In der Verfahrenstechnik                                  oder des Chemieingenieurwesens und stehen kurz vor dem Ende Ihres                                  Studiums. Idealerweise besitzen Sie Kenntnisse im                                  Bereich Umwelttechnik bzw.Carbon Footprint-Berechnung. Eine                                  starke Kommunikationsfähigkeit, analytisches Denkvermögen sowie                                  sehr gute Englischkenntnisse runden Ihr Profil ab.
6050108507	2010-11-25T16:28:55Z	Im Rahmen Ihrer Abschlussarbeit soll die Nachhaltigkeit der                                                       organischen Photovoltaik untersucht werden. Hierfür werden                                                       Sie eine Ökobilanz inklusive Carbon Footprint (PCF) über den                                                       kompletten Lebenszyklus von OPV Produkten erstellen. Ziel der                                                       Arbeit ist eine Bilanzierung des Herstellprozesses inklusive der                                                       eingesetzten Rohstoffe, der Zellenproduktion sowie der                                                       Entsorgung.
6050108507	2010-01-15T06:40:09Z	Bei der Nutzung erneuerbarer Energien und neuer Technologien zur Energiegewinnung ist Energiespeicherung ein zentrales Thema. Die internationalen Bemühungen um den Klimaschutz werden daher in den nächsten Jahren den Bedarf an hochenergetischen und leistungsfähigen Lithium-Ionen-Batterien sprunghaft steigen lassen. Stationäre Stromspeicher in Verbindung mit Photovoltaik-Anlagen aber auch Hybrid-Fahrzeuge stellen dabei hohe Anforderungen an die verwendeten Batterien und die entsprechenden Batteriematerialien. Merck engagiert sich in mehreren Forschungskonsortien bei der Entwicklung neuer Elektrolytmaterialien, um die Leistungsfähigkeit und Lebensdauer von Lithium-Ionen-Batterien und damit die Speichermöglichkeiten zu verbessern.
6050108507	2010-11-26T19:59:00Z	Als Beitrag zum Klimaschutz hat sich Merck ein ambitioniertes Ziel gesetzt:
6050108507	2010-01-15T09:03:06Z	gesetzt, für alle Produktionsstandorte eine Zertifizierung nach der internationalen Umweltmanagementnorm ISO 14001 zu erhalten. Dabei strebt Merck anstelle der bisherigen Einzelzertifikate ein international gültiges Gruppenzertifikat an, das für alle Standorte gilt.
6050108507	2010-12-18T19:51:19Z	ISO 14001
6050108507	2010-11-26T20:27:30Z	Erlangung eines ISO 14001 Gruppenzertifikats bis Ende 2010
2030194842	2010-03-05T04:36:01Z	Against the       background of existing European aeronautical networks and initiatives (e.g.       ERA-Net Aeronautics, Network of Exellences like EWA and ECATS) it will offer       a forum to jointly discuss the perspectives of the upcoming
2030194842	2010-05-16T08:08:22Z	Im Januar 2010 drehten sich allein in Deutschland Windkraftanlagen mit einer installierten Leistung von 25.777 Megawatt. Knapp acht Prozent des deutschen Bruttostromverbrauchs kann so klimaneutral gedeckt werden. Da die windstarken Flächen an Land beschränkt sind, drängen große und kleine Stromerzeuger nun auf das offene Meer. Doch sind Offshore-Windparks tatsächlich viel effizienter?
2030194842	2010-05-16T08:08:22Z	Bis zum Jahr 2016 sollte in der arabischen Wüste die erste klimaneutrale Stadt der Welt, Masdar City, entstehen. 50.000 Menschen sollen dann in Masdar-City ihre Energie vor allem aus Solarkraftwerken beziehen, sich mit Elektromobilen zwischen intelligent gebauten Häusern bewegen und ihren Müll komplett recyceln. Doch vereinzelte Rücktritte von Masdar-Managern nähren nun Gerüchte, dass das ambitionierte Projekt im wahrsten Sinne des Wortes im Sande verlaufen könnte. Waren die Ziele für das 22-Milliarden-Dollar-Projekt zu hoch gesteckt?
2030194842	2010-12-24T10:34:19Z	Geklärt ist die Frage nach der Sicherheit von CO2-Langzeitspeichern nicht. Können die Speicher mit der Zeit ausgasen? Wären in einem solchen Fall Mensch und Tier in direkter Umgebung gefährdet? Letzteres Risiko ist zwar verschwindend gering, doch schon eine geringe Leckrate von beispielsweise einem Prozent könnte alle Klimaschutzpläne zunichte machen. Das würde bedeuten, dass nach und nach doch ein Großteil des Kohlendioxids wieder in die Atmosphäre gelangen würde. Um das zu vermeiden, schlagen Experten vor, das entweichende CO2 aufzufangen und wieder in den Untergrund zu pressen. Das Nachpumpen müsste jedoch über lange Zeiträume erfolgen. Das wäre nicht nur teuer, sondern erforderte ein Langzeitmanagement für die Speicher, das CCS-Kritiker bereits mit dem Aufwand für ein Atommüll-Endlager vergleichen.
2030194842	2010-12-24T10:22:22Z	"Wenn man über die Reserven berichtet, dann sollte man nicht die Verbrechen, die beim Abbau begangen werden, verschweigen. Siehe und höre    http://www.wdr5.de/sendungen/dok-5/s/d/17.10.2010-11.05.html  http://www.dradio.de/dlf/sendungen/dasfeature/1267473/      26.10.2010 · 19:15 Uhr    Die ""saubere"" Lösung    Vom Niger und deutschen Atomkraftwerken  Von Bettina Rühl    Die Atomkraft hat in Deutschland ein Comeback: Sie gilt als CO2-neutrale Energie. Kaum jemand spricht darüber, welche Energie man zur Aufbereitung der Brennstäbe braucht, woher das Uran kommt, und wie es abgebaut wird.    Deutschland bezieht einen großen Teil des Urans für seine AKW aus dem westafrikanischen Wüstenstaat Niger. Dort ist der französische Staatskonzern AREVA im Uranabbau federführend und betreibt seit rund 40 Jahren Uranminen. Er ist einer der größten Arbeitgeber im Niger. Doch viele Menschen in der Region klagen über mysteriöse Krankheiten. Eine Spurensuche nach Kosten und Nutzen des Uranabbaus, nach Gewinnern und Verlierern, nach Verantwortlichen und Profiteuren.    Produktion WDR/DLF 2010"
