crefo	date	node
3230012865	2015-03-01T00:33:33Z	Umwelt-/Öko-Norm DIN EN ISO 14001:2004
6050108507	2015-01-23T16:23:09Z	An unserem indischen Produktionsstandort Goa bauen wir derzeit ein Kraftwerk, das klimaneutrale Biomasse...
6050108507	2015-01-23T16:23:09Z	An unserem indischen Produktionsstandort Goa bauen wir derzeit ein Kraftwerk, das klimaneutrale Biomasse als Brennstoff nutzen wird. In der Region werden Cashew- und Kokosnüsse angebaut. Die Schalen dieser Früchte fallen nach der Ernte als Abfall an. Merck wird diese Schalen aufkaufen und als Biomasse verwerten. Ab dem Jahr 2015 können so jährlich rund 11.000 Tonnen Kohlenstoffdioxid eingespart werden.
6050108507	2015-01-23T16:41:50Z	In Klimaschutz investieren
6050108507	2015-08-08T18:52:51Z	Weltweit wächst der Anteil der erneuerbaren Energien an der Energieversorgung und damit auch ihr Beitrag zum Klimaschutz. Dabei spielt die Photovoltaik eine Schlüsselrolle. Die Technologie wandelt Licht effektiv in Energie um. Jedoch sind herkömmliche Siliziumsolarzellen nur begrenzt einsatzfähig: Sie sind starr und intransparent. Zudem sind Photovoltaik-Module auf Basis von Siliziumsolarzellen relativ schwer.
2030194842	2015-10-25T05:50:49Z	Bis zum Jahr 2016 sollte in der arabischen Wüste die erste klimaneutrale Stadt der Welt, Masdar City, entstehen. 50.000 Menschen sollen dann in Masdar-City ihre Energie vor allem aus Solarkraftwerken beziehen, sich mit Elektromobilen zwischen intelligent gebauten Häusern bewegen und ihren Müll komplett recyceln. Doch vereinzelte Rücktritte von Masdar-Managern nähren nun Gerüchte, dass das ambitionierte Projekt im wahrsten Sinne des Wortes im Sande verlaufen könnte. Waren die Ziele für das 22-Milliarden-Dollar-Projekt zu hoch gesteckt?
2030194842	2015-11-05T23:15:01Z	Im Januar 2010 drehten sich allein in Deutschland Windkraftanlagen mit einer installierten Leistung von 25.777 Megawatt. Knapp acht Prozent des deutschen Bruttostromverbrauchs kann so klimaneutral gedeckt werden. Da die windstarken Flächen an Land beschränkt sind, drängen große und kleine Stromerzeuger nun auf das offene Meer. Doch sind Offshore-Windparks tatsächlich viel effizienter?
7290012705	2015-05-03T19:19:32Z	Im Jahr 2008 wurde das Qualitätsmanagement nach DIN EN ISO 9001:2008 eingeführt und die alte EMAS-Zertifizierung durch das international anerkannte Umweltmanagementsystem nach DIN EN ISO 14001:2005 abgelöst.
5170000916	2015-03-26T15:33:43Z	Abb. 5+6: Lagerung und Transport des Schiefers erfolgt in CO2-neutralen Holzkisten.
5170246136	2015-01-02T06:48:09Z	Steuler steht zu seiner Verpflichtung gegenüber nachfolgenden Generationen und setzt die natürlichen Ressourcen verantwortungsvoll ein. Das Bekenntnis zur Qualität und der Schutz der Umwelt bestimmen unser unternehmerisches Handeln. Deshalb verpflichten wir uns zum Energiemanagement, nehmen an zahlreichen Qualitäts-Zertifizierungen teil und unterstützen die Nachhaltigkeitsinitiative der chemischen Industrie. Mit der Zertifizierung nach ISO 14001 weisen wir regelmäßig die kontinuierliche Weiterentwicklung unseres Umweltmanagementsystems und die Verbesserung unserer Umweltleistung nach. Die sorgfältige Auswahl hochwertiger Rohstoffe und deren Beschaffung unter Beachtung strenger Kodizes sind für uns selbstverständlich. Mit der Zertifizierung nach der SCC Checkliste (Sicherheits Certifikat Contraktoren ) stellen wir sicher, dass wir für unsere Kunden und auf Baustellen ein zuverlässiger Partner auch im Bereich Sicherheit, Gesundheit und Umweltschutz sind.
